player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
カリスト,L,6,シヴ山のドラゴン,77,亜2,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g4.png,シャドウレイド / スキュアー / スタンピード / ベノムスクラッチ / ヴェンデッタ,ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=11&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=139&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=171&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=235&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=267&se=13&t=1,,,,,
カリスト,L,6,Hydra,81,亜1,https://eldersign.jp/img/mi/p/f0/048_hydra_1g4.png,アースクェイク / ウォークライ / スキュアー / スタンピード / ブラッドセイバー,ハートオブオーシャン / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=11&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=139&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=171&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=235&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=267&se=13&t=1,,,,,
カリスト,L,5,Simorgh,78,亜1,https://eldersign.jp/img/mi/p/f0/046_simorgh_1g7.png,アースクェイク / カラカス / ステイシス / テンペスト / ドラゴニックロア,HPブースト / クィックオーダー / ボディケア,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=11&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=139&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=171&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=267&se=13&t=1,,,,,,
カリスト,L,6,CatsOfUlthar,70,原,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_0g7.png,カラカス / フライト / 光のベール / 光の楔 / 月光浴,HPブースト / クィックオーダー / ボディケア / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=11&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=139&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=171&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=235&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=267&se=13&t=1,,,,,
カリスト,L,5,地を喰らうスピキ,83,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,カロウシブスピット / スキュアー / スタンピード / トライペック / ブラッドセイバー,ハートオブオーシャン / リジェネレイト / レジストポイズン / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=43&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=75&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=107&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=331&se=13&t=1,,,,,,
カリスト,L,4,畝の後ろの後ろを歩くモノ,70,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,スキュアー / スタンピード / トライペック / トランキリティ / ベノムスクラッチ,ハートオブオーシャン / リジェネレイト / レジストポイズン / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=43&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=75&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=107&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=13&t=1,,,,,,,
カリスト,L,4,星のスピキ擬態型,79,亜2,https://eldersign.jp/img/mi/p/f0/052_star-vampire_2g7.png,アンブッシュ / カラカス / フォトケミカルスモッグ / ミラーズ / 光のベール,HPブースト / クィックオーダー / ボディケア,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=43&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=107&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=331&se=13&t=1,,,,,,,
カリスト,L,5,比良坂初音,81,亜2,https://eldersign.jp/img/mi/p/f0/066_atlach-nacha_2g4.png,エルフショット / ミラーズ / ユロール / 光のベール / 光の楔,ハートオブフレイム / リジェネレイト / レジストバインド / 守りのミンネ / 心の壁 / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=43&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=75&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=107&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=299&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=331&se=13&t=1,,,,,,
カリスト,L,1,F.S.M.,66,亜1,https://eldersign.jp/img/mi/p/f0/053_fsm_1g4.png,エルフショット / ミラーズ / ユロール / 闇のベール / 闇の楔,レジストバインド / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=75&se=13&t=1,,,,,,,,,,
カリスト,L,1,NIKKE,61,亜1,https://eldersign.jp/img/mi/p/f0/042_peri_1g4.png,アウェイクニング / アウローラ / ステイシス / 光のベール / 悪魔のトリル,コールドアシスト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=235&se=13&t=1,,,,,,,,,,
