"player","letter","出場回数","monster","level","variant","image","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"タカヤマン","K","3","ブラスドラゴン／赤燐","90","亜2","https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g7.png","スキュアー / スパイクテイル / チャージ / ブラッドセイバー / ヴェンデッタ","守りのミンネ / 戦いのエール","A-K","E-K","J-K","","","","","","","",""
"タカヤマン","K","3","シルバードラゴン／撃","90","亜2","https://eldersign.jp/img/mi/p/f0/050_silver-dragon_2g7.png","ウォークライ / スキュアー / ビーストキラー / ベノムスクラッチ / 光のベール","ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール","A-K","C-K","D-K","","","","","","","",""
"タカヤマン","K","4","シルバードラゴン／吼","90","亜1","https://eldersign.jp/img/mi/p/f0/050_silver-dragon_1g7.png","ウォークライ / カラカス / ヴェンデッタ / 光のベール / 光の楔","HPブースト / クィックオーダー / 守りのミンネ / 戦いのエール","A-K","C-K","D-K","E-K","","","","","","",""
"タカヤマン","K","6","ウルタールの猫／トラ","70","亜2","https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_2g7.png","フライト / リヴァイヴ / 光のベール / 光の楔 / 月光浴","HPブースト / クィックオーダー / メンタルケア / ローズイズレッド / 守りのミンネ / 心の棘","A-K","C-K","D-K","E-K","F-K","J-K","","","","",""
"タカヤマン","K","2","ドール／壱","65","原","https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png","アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ","ハートオブオーシャン / ミラージュ / リジェネレイト","B-K","I-K","","","","","","","","",""
"タカヤマン","K","2","ティンダロスハウンド@","61","亜1","https://eldersign.jp/img/mi/p/f0/054_hounds-of-tindalos_1g4.png","スキュアー / フェイズアウト / ルルハラント / 光のベール / 光の楔","ハートオブオーシャン / リジェネレイト / 守りのミンネ","B-K","I-K","","","","","","","","",""
"タカヤマン","K","5","F.S.M.～②","82","亜2","https://eldersign.jp/img/mi/p/f0/053_fsm_2g7.png","テンペスト / フォトケミカルスモッグ / ミラーズ / ユロール / 光の楔","ハートオブフレイム / 守りのミンネ / 心の棘","B-K","G-K","H-K","I-K","K-L","","","","","",""
"タカヤマン","K","4","スタープラチナ☆","88","亜1","https://eldersign.jp/img/mi/p/f0/052_star-vampire_1g7.png","アンブッシュ / ミラーズ / ユロール / 光のベール / 光の楔","ハートオブフレイム / リジェネレイト","B-K","G-K","H-K","K-L","","","","","","",""
"タカヤマン","K","5","ハイドラ！","90","亜2","https://eldersign.jp/img/mi/p/f0/048_hydra_2g7.png","アウターキラー / アースクェイク / グランドスラム / スキュアー / チャージ","ハートオブオーシャン / 守りのミンネ / 戦いのエール","C-K","D-K","E-K","F-K","J-K","","","","","",""
"タカヤマン","K","1","パズズ／赤眼","74","亜2","https://eldersign.jp/img/mi/p/f0/045_pazuzu_2g7.png","デルタスラッシュ / ドラゴニックロア / ブラッドセイバー / ベノムスクラッチ","守りのミンネ / 戦いのエール","F-K","","","","","","","","","",""
"タカヤマン","K","2","クン・アヌン／ロア","70","亜2","https://eldersign.jp/img/mi/g/f0/026_cwn-annwn_2g7.png","カラカス / ドラゴニックロア / フォトケミカルスモッグ / 光のベール / 光の楔","HPブースト / クィックオーダー / ハートオブフレイム","F-K","J-K","","","","","","","","",""
"タカヤマン","K","3","ダークヤング／赤狐","90","亜1","https://eldersign.jp/img/mi/p/f0/055_dark-young_1g7.png","アースクェイク / スキュアー / チャージ / トライペック / ベノムスクラッチ","守りのミンネ / 戦いのエール","G-K","H-K","K-L","","","","","","","",""
"タカヤマン","K","3","ダークヤング／緑狸","88","亜2","https://eldersign.jp/img/mi/p/f0/055_dark-young_2g7.png","スキュアー / ディスペル / ブラッドセイバー / 光の楔","守りのミンネ / 戦いのエール","G-K","H-K","K-L","","","","","","","",""
"タカヤマン","K","1","スターヴァンパイア☆","49","原","https://eldersign.jp/img/mi/g/f0/052_star-vampire_0g7.png","ミラーズ / ユロール / 光のベール","ハートオブフレイム / ミラージュ","I-K","","","","","","","","","",""
"イマクロ","L","2","パズズ","64","原","https://eldersign.jp/img/mi/g/f0/045_pazuzu_0g7.png","アウターキラー / アウターベイン / スキュアー / バードサンクチュアリ / 光の刻印","ディレイオーダー / レジストポイズン / 戦いのエール / 攻撃ブースト","A-L","K-L","","","","","","","","",""
"イマクロ","L","7","ブラスドラゴン","70","原","https://eldersign.jp/img/mi/g/f0/049_brass-dragon_0g4.png","アウターキラー / アースクェイク / ウォークライ / ブラッドセイバー / ラーヴァフロウ","エンジェリックウィング / ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール","A-L","C-L","D-L","E-L","G-L","I-L","J-L","","","",""
"イマクロ","L","10","ハイドラ (1)","70","原","https://eldersign.jp/img/mi/g/f0/048_hydra_0g7.png","アースクェイク / ウォークライ / スタンピード / ブラッドセイバー / ラーヴァフロウ","エンジェリックウィング / ハートオブオーシャン / フレイムアシスト / ミラージュ / 守りのミンネ / 戦いのエール","A-L","B-L","C-L","D-L","E-L","F-L","G-L","I-L","J-L","K-L",""
"イマクロ","L","2","ハイドラ (2)","70","原","https://eldersign.jp/img/mi/g/f0/048_hydra_0g4.png","アウターキラー / アースクェイク / トライペック / 光の刻印","ハートオブウィンド / リフレクション / 守りのミンネ","B-L","F-L","","","","","","","","",""
"イマクロ","L","8","ウルタールの猫","70","亜1","https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png","エルフショット / パンデミック / フライト / 月光浴 / 炎の楔","エンジェリックウィング / クィックオーダー / ハートオブオーシャン / ハートオブフレイム / ハートオブマーブル / リジェネレイト / リフレクション / 命中ブースト / 守りのミンネ / 戦いのエール / 攻撃ブースト","A-L","B-L","C-L","E-L","F-L","I-L","J-L","K-L","","",""
"イマクロ","L","6","シムルグ","70","原","https://eldersign.jp/img/mi/g/f0/046_simorgh_0g7.png","キャンセレイション / テンペスト / ドラゴニックロア / 光のベール / 炎の楔","クィックオーダー / ハートオブマーブル / リジェネレイト / 命中ブースト / 守りのミンネ / 防御ブースト","B-L","C-L","D-L","E-L","J-L","K-L","","","","",""
"イマクロ","L","1","ティンダロスハウンド (1)","70","原","https://eldersign.jp/img/mi/g/f0/054_hounds-of-tindalos_0g4.png","ルルハラント","エンジェリックウィング / 守りのミンネ","D-L","","","","","","","","","",""
"イマクロ","L","1","ティンダロスハウンド (2)","70","原","https://eldersign.jp/img/mi/g/f0/054_hounds-of-tindalos_0g4.png","ダブルアタック / チャージ / フェイズアウト","エンジェリックウィング / 戦いのエール","H-L","","","","","","","","","",""
"イマクロ","L","3","エアリエル","70","原","https://eldersign.jp/img/mi/g/f0/039_ariel_0g4.png","アゼランザ / エンジェルダスト / トランキリティ / ファイアボルト / フォトケミカルスモッグ","クィックオーダー / ディレイオーダー / 命中ブースト / 攻撃ブースト / 防御ブースト","F-L","G-L","H-L","","","","","","","",""
"イマクロ","L","2","ペリ","70","原","https://eldersign.jp/img/mi/g/f0/042_peri_0g4.png","キャンセレイション / トランキリティ / ポイズンクラウド / リヴァイヴ / 光の楔","リジェネレイト / 守りのミンネ / 戦いのエール","G-L","I-L","","","","","","","","",""
"イマクロ","L","1","アークディスプレイサー","70","原","https://eldersign.jp/img/mi/g/f0/057_arch-displacers_0g4.png","セメタリーゲート / フェイズアウト / ホロウワールド","心の棘 / 魔力ブースト","H-L","","","","","","","","","",""
"イマクロ","L","1","ドール","70","原","https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png","アースクェイク","ハートオブオーシャン / リジェネレイト","H-L","","","","","","","","","",""
"ClayClay","D","8","ミル＝フイユ","73","亜1","https://eldersign.jp/img/mi/p/f0/066_atlach-nacha_1g7.png","ゴッサマーチェイン / シュリンク / ミラーズ / ルルハラント / ルールオブドリームス","ハートオブフレイム / リフレクション / レジストポイズン / 命中ブースト / 守りのミンネ","A-D","C-D","D-E","D-G","D-H","D-I","D-K","D-L","","",""
"ClayClay","D","3","W.R.N.B","58","亜2","https://eldersign.jp/img/mi/g/f0/082_gug_2g7.png","アンブッシュ / ブラッドセイバー / ベノムスクラッチ / 闇の刻印 / 闇の楔","レジストポイズン / 守りのミンネ / 心の壁","A-D","D-F","D-G","","","","","","","",""
"ClayClay","D","1","イシュ","42","原","https://eldersign.jp/img/mi/g/f0/039_ariel_0g4.png","アイスランス / ステイシス / ストームワーニング / スリートストーム / テンペスト","HPブースト / クィックオーダー","A-D","","","","","","","","","",""
"ClayClay","D","2","ハルテ","59","原","https://eldersign.jp/img/mi/g/f0/041_rusalka_0g4.png","パンデミック / ヒヤデスウィンド / ファイアランス / 炎の刻印","クィックオーダー / フレイムアシスト / フレイムバリア / 悪目立ち","A-D","D-F","","","","","","","","",""
"ClayClay","D","2","ハルドル","70","原","https://eldersign.jp/img/mi/g/f0/049_brass-dragon_0g4.png","アースクェイク / スキュアー / ヴェンデッタ / 光のベール","レジストポイズン / 守りのミンネ","B-D","D-J","","","","","","","","",""
"ClayClay","D","1","ア・ドライグ・ゴッホ","57","亜1","https://eldersign.jp/img/mi/p/f0/071_y-ddraig-goch_1g7.png","グランドスラム / デストラクション / ブレイズ / ローカストスウォーム / 光のベール","レジストポイズン / 守りのミンネ","B-D","","","","","","","","","",""
"ClayClay","D","1","熱峰分","57","亜2","https://eldersign.jp/img/mi/p/f0/045_pazuzu_2g4.png","ドラゴニックロア / バードサンクチュアリ / メガリス / ローカストスウォーム / 光の楔","命中ブースト / 戦いのエール","B-D","","","","","","","","","",""
"ClayClay","D","1","白夜庵","63","亜1","https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png","カラカス / ディスペル / フライト / 光の楔 / 月光浴","クィックオーダー / 悪目立ち","B-D","","","","","","","","","",""
"ClayClay","D","7","ドール","63","亜1","https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png","カロウシブスピット / ガッシマ / トランキリティ / ブラッドセイバー / 光のベール","リジェネレイト / レジストポイズン / 守りのミンネ / 心の壁 / 心の棘","C-D","D-E","D-F","D-H","D-I","D-K","D-L","","","",""
"ClayClay","D","3","H.S.K_Ver1.2","64","亜2","https://eldersign.jp/img/mi/g/f0/078_zhar_2g4.png","シュリンク / ハスタリーザ / フォトケミカルスモッグ / ミラーズ / ユロール","リジェネレイト / 心の棘","C-D","D-E","D-K","","","","","","","",""
"ClayClay","D","3","F.S.M.","61","原","https://eldersign.jp/img/mi/g/f0/053_fsm_0g4.png","セメタリーゲート / ハスタリーザ / ミラーズ / ユロール / ルルハラント","リジェネレイト / 心の棘","C-D","D-E","D-K","","","","","","","",""
"ClayClay","D","5","星鈴","67","亜1","https://eldersign.jp/img/mi/p/f0/052_star-vampire_1g4.png","アンブッシュ / フォトケミカルスモッグ / ミラーズ / ユロール / 闇の楔","HPブースト / クィックオーダー / ハートオブフレイム / ミラージュ / リジェネレイト / 命中ブースト / 守りのミンネ / 心の壁 / 心の棘","D-F","D-G","D-H","D-I","D-L","","","","","",""
"ClayClay","D","4","イタクァ","65","亜2","https://eldersign.jp/img/mi/p/f0/079_ithaqua_2g4.png","のしかかり / スキュアー / ベノムスクラッチ / 光の楔 / 超超低周波","リジェネレイト / レジストポイズン / 守りのミンネ / 心の棘","D-G","D-H","D-I","D-L","","","","","","",""
"ClayClay","D","1","アス","69","原","https://eldersign.jp/img/mi/g/f0/048_hydra_0g4.png","アースクェイク / カロウシブスピット / シードハウザー / ダルバドーハ / ラーヴァフロウ","レジストポイズン / 守りのミンネ","D-J","","","","","","","","","",""
"ClayClay","D","1","シルバードラゴン","65","原","https://eldersign.jp/img/mi/g/f0/050_silver-dragon_0g4.png","カラカス / テンペスト / バーニングレイジ / 光のベール","命中ブースト / 守りのミンネ","D-J","","","","","","","","","",""
"ClayClay","D","1","黒夜庵","47","亜2","https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_2g7.png","カラカス / バードサンクチュアリ / フライト / 月光浴 / 炎のベール","HPブースト / クィックオーダー","D-J","","","","","","","","","",""
"カリスト","A","9","地を喰らうスピキ","86","亜1","https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png","カロウシブスピット / スキュアー / スタンピード / トライペック / ブラッドセイバー","ハートオブオーシャン / ハートオブフレイム / リジェネレイト / 守りのミンネ / 戦いのエール","A-B","A-D","A-E","A-F","A-G","A-H","A-I","A-K","A-L","",""
"カリスト","A","7","畝の後ろの後ろを歩くモノ","70","原","https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png","スキュアー / スタンピード / トライペック / トランキリティ / ベノムスクラッチ","ハートオブオーシャン / ハートオブフレイム / リジェネレイト / 守りのミンネ / 戦いのエール","A-B","A-D","A-E","A-G","A-H","A-I","A-L","","","",""
"カリスト","A","6","星のスピキ擬態型","82","亜2","https://eldersign.jp/img/mi/p/f0/052_star-vampire_2g7.png","アンブッシュ / カラカス / フォトケミカルスモッグ / ミラーズ / 光のベール","HPブースト / クィックオーダー / ボディケア / 守りのミンネ / 戦いのエール","A-B","A-E","A-F","A-I","A-K","A-L","","","","",""
"カリスト","A","9","比良坂初音","83","亜2","https://eldersign.jp/img/mi/p/f0/066_atlach-nacha_2g4.png","エルフショット / ミラーズ / ユロール / 光のベール / 光の楔","HPブースト / クィックオーダー / リジェネレイト / レジストバインド / 守りのミンネ / 心の棘 / 戦いのエール","A-B","A-D","A-E","A-F","A-G","A-H","A-I","A-K","A-L","",""
"カリスト","A","2","シヴ山のドラゴン","83","亜2","https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g4.png","シャドウレイド / スキュアー / スタンピード / ベノムスクラッチ / ヴェンデッタ","ハートオブオーシャン / リジェネレイト","A-C","A-J","","","","","","","","",""
"カリスト","A","2","Hydra","90","亜1","https://eldersign.jp/img/mi/p/f0/048_hydra_1g4.png","アースクェイク / ウォークライ / スキュアー / スタンピード / ブラッドセイバー","ハートオブオーシャン","A-C","A-J","","","","","","","","",""
"カリスト","A","2","Simorgh","85","亜1","https://eldersign.jp/img/mi/p/f0/046_simorgh_1g7.png","アースクェイク / カラカス / ステイシス / テンペスト / ドラゴニックロア","HPブースト / クィックオーダー / ハートオブフレイム / リジェネレイト","A-C","A-J","","","","","","","","",""
"カリスト","A","2","CatsOfUlthar","70","原","https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_0g7.png","カラカス / フライト / 光のベール / 光の楔 / 月光浴","クィックオーダー / ハートオブフレイム / ボディケア / リジェネレイト","A-C","A-J","","","","","","","","",""
"カリスト","A","1","F.S.M. (1)","59","原","https://eldersign.jp/img/mi/g/f0/053_fsm_0g7.png","アゼランザ / エルフショット / ストーン / ヒーリング / 光の楔","クィックオーダー / ボディケア","A-H","","","","","","","","","",""
"カリスト","A","2","F.S.M. (2)","76","亜1","https://eldersign.jp/img/mi/p/f0/053_fsm_1g7.png","エルフショット / ミラーズ / ユロール / 闇のベール / 闇の楔","レジストバインド / 心の棘","A-D","A-G","","","","","","","","",""
"カリスト","A","2","復活の淫夢くんUC","84","亜2","https://eldersign.jp/img/mi/p/f0/057_arch-displacers_2g7.png","カラカス / フォトケミカルスモッグ / ベノムスクラッチ / ルルハラント / 光のベール","クィックオーダー / ボディケア","A-F","A-K","","","","","","","","",""
"ユウア","B","3","♔","71","亜1","https://eldersign.jp/img/mi/p/f0/049_brass-dragon_1g4.png","スキュアー / スタンピード / チャージ / ブラッドセイバー / ベノムスクラッチ","守りのミンネ / 戦いのエール","A-B","B-F","B-I","","","","","","","",""
"ユウア","B","3","♚","67","亜1","https://eldersign.jp/img/mi/p/f0/049_brass-dragon_1g4.png","シャドウレイド / スタンピード / チャージ / ディスペル / ヴェンデッタ","守りのミンネ / 戦いのエール","A-B","B-F","B-I","","","","","","","",""
"ユウア","B","2","ฅ","38","亜1","https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png","ニグラーヌ / フライト / リヴァイヴ / 光の楔 / 月光浴","クィックオーダー / 命中ブースト","A-B","B-I","","","","","","","","",""
"ユウア","B","4","ঌ","79","亜1","https://eldersign.jp/img/mi/p/f0/042_peri_1g4.png","アウローラ / エルフショット / カラカス / セメタリーゲート / ヒヤデスウィンド / 光のベール / 悪魔のトリル","コールドアシスト / レジストスリープ","A-B","B-E","B-F","B-I","","","","","","",""
"ユウア","B","4","ꕀ","69","原","https://eldersign.jp/img/mi/g/f0/055_dark-young_0g7.png","ガッシマ / スキュアー / スタンピード / トライペック / ブラッドセイバー","ハートオブフレイム / リジェネレイト / 守りのミンネ / 戦いのエール","B-C","B-G","B-H","B-L","","","","","","",""
"ユウア","B","4","ꕁ","70","原","https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png","ガッシマ / スキュアー / スタンピード / トライペック / ベノムスクラッチ","ハートオブフレイム / リジェネレイト / 守りのミンネ / 戦いのエール","B-C","B-G","B-H","B-L","","","","","","",""
"ユウア","B","3","☈","90","亜1","https://eldersign.jp/img/mi/p/f0/057_arch-displacers_1g4.png","アンブッシュ / カラカス / フォトケミカルスモッグ / 光のベール / 光の楔","HPブースト / クィックオーダー","B-C","B-G","B-H","","","","","","","",""
"ユウア","B","2","Ꮹ","30","原","https://eldersign.jp/img/mi/b/f1/103_last-survivor_0g7.png","ステイシス / プロテクトディザスター / ポイズンクラウド / ユロール / 光の楔","クィックオーダー / 命中ブースト","B-C","B-H","","","","","","","","",""
"ユウア","B","1","ꕥ","64","原","https://eldersign.jp/img/mi/g/f0/056_dhole_0g7.png","アースクェイク / スキュアー / スタンピード / トライペック / ブラッドセイバー","エンジェリックウィング / 戦いのエール","B-D","","","","","","","","","",""
"ユウア","B","1","ꕤ","59","原","https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png","アースクェイク / スタンピード / ベノムスクラッチ","エンジェリックウィング / ハートオブオーシャン","B-D","","","","","","","","","",""
"ユウア","B","1","✯","66","亜2","https://eldersign.jp/img/mi/p/f0/051_old-one_2g4.png","エルフショット / ミラーズ / ユロール / 光のベール / 悪魔のトリル","エンジェリックウィング","B-D","","","","","","","","","",""
"ユウア","B","2","꧁꧂","63","亜2","https://eldersign.jp/img/mi/p/f0/066_atlach-nacha_2g4.png","ゴッサマーチェイン / トランキリティ / ミラーズ / ユロール / ルールオブドリームス","エンジェリックウィング / ミラージュ / リジェネレイト / 魔力ブースト","B-D","B-G","","","","","","","","",""
"ユウア","B","1","ゴブリンキング (1)","31","亜2","https://eldersign.jp/img/mi/p/f0/084_goblin-king_2g4.png","ストーン / ストーンレイン / ベノムスクラッチ / ペイルムーン / 光の刻印","守りのミンネ / 戦いのエール","B-E","","","","","","","","","",""
"ユウア","B","1","ゴブリンキング (2)","31","亜2","https://eldersign.jp/img/mi/p/f0/084_goblin-king_2g4.png","ストーン / ストーンレイン / ベノムスクラッチ / ペイルムーン / 光の刻印","守りのミンネ / 戦いのエール","B-E","","","","","","","","","",""
"ユウア","B","1","ホブゴブリン","39","原","https://eldersign.jp/img/mi/s/f1/109_hobgoblin_0g7.png","アウェイクニング / ストーン / ストーンレイン / フォトケミカルスモッグ / 光の楔","クィックオーダー / 命中ブースト","B-E","","","","","","","","","",""
"ユウア","B","1","ಇ","57","亜2","https://eldersign.jp/img/mi/p/f0/043_succubus_2g7.png","アウェイクニング / 光の楔","守りのミンネ / 防御ブースト","B-F","","","","","","","","","",""
"ユウア","B","2","☃","68","原","https://eldersign.jp/img/mi/g/f0/020_snow_0g7.png","セメタリーゲート / ヒヤデスウィンド / ブラッドムーン","ハートオブフレイム / リジェネレイト","B-J","B-K","","","","","","","","",""
"ユウア","B","2","❄︎","50","原","https://eldersign.jp/img/mi/s/f0/020_snow_0g7.png","アイスランス / セメタリーゲート / ペイルムーン / 氷の楔 / 氷の花","ハートオブフレイム / リジェネレイト","B-J","B-K","","","","","","","","",""
"ユウア","B","2","❅","48","原","https://eldersign.jp/img/mi/s/f0/020_snow_0g7.png","セメタリーゲート / テンペスト / フェアリーエイド","クィックオーダー / 命中ブースト","B-J","B-K","","","","","","","","",""
"ユウア","B","2","ღ","56","亜1","https://eldersign.jp/img/mi/p/f0/043_succubus_1g7.png","アウェイクニング / エルフショット / キャンセレイション / セメタリーゲート / 悪魔のトリル","HPブースト / クィックオーダー","B-J","B-K","","","","","","","","",""
