"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"センカ","ティンダロスハウンド","23","原種","9","くすぐり / エイミング / チャージ / テラーコール / フェイズアウト","エンジェリックウィング / 守りのミンネ / 攻撃ブースト / 敏捷ブースト / 防御ブースト","A-L","B-L","C-L","E-L","F-L","G-L","H-L","I-L","K-L","",""
"センカ","シムルグ","25","原種","4","シードハウザー / スウィング / ツイスター / テラーコール / ハードブロウ / バードサンクチュアリ / ブラッドスティール","リフレクション / 戦いのエール / 攻撃ブースト / 魔力ブースト","A-L","C-L","D-L","J-L","","","","","","",""
"センカ","ルサルカ","34","原種","9","アイスランス / セメタリーゲート / フラッド / 水流","エンジェリックウィング / コールドアシスト / レジストシック / レジストチャーム / 心の棘 / 敏捷ブースト / 防御ブースト / 魔力ブースト","A-L","C-L","D-L","E-L","F-L","G-L","I-L","J-L","K-L","",""
"センカ","エアリエル","19","原種","5","ウィンドボルト / セメタリーゲート / テンペスト / ヒーリング / ファイアボルト","リフレクション / 魔力ブースト","A-L","B-L","D-L","F-L","J-L","","","","","",""
"センカ","アンクー","19","原種","7","チャージ / デスサイズ / ハルバード / パンデミック / ファストブレード","攻撃ブースト / 敏捷ブースト","B-L","E-L","F-L","G-L","H-L","I-L","K-L","","","",""
"センカ","ルサルカB","33","原種","1","セメタリーゲート / 水流","コールドアシスト / 敏捷ブースト","B-L","","","","","","","","","",""
"センカ","ワイバーンB","28","亜種2","1","エイミング / スパイクテイル / チャージ / ベノムスティング / ペトロガス","ミラージュ","C-L","","","","","","","","","",""
"センカ","ハイドラ","27","原種","2","スリープクラウド / チャージ / ラーヴァフロウ / 誘い受け / 超低周波","エンジェリックウィング / 防御ブースト","D-L","J-L","","","","","","","","",""
"センカ","フラーユ","13","原種","5","アイスランス / ヒーリング / ファイアボルト / 光のベール","フレイムアシスト / リフレクション / レジストチャーム / 予習復習 / 心の棘 / 戦いのエール / 攻撃ブースト / 魔力ブースト","E-L","G-L","H-L","I-L","K-L","","","","","",""
"センカ","エアリエルB","15","原種","1","セメタリーゲート / テンペスト","敏捷ブースト","H-L","","","","","","","","","",""
