player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),match01,match02,match03,match04,match05,match06,match07,match08,match09,match10,match11
タカヤマン,J,2,バステト／泪,90,亜2,https://eldersign.jp/img/mi/p/f1/110_bastet_2g7.png,ナインライヴズ / ホワイトインペール / マウ・バスト / ヴェンデッタ / 光のベール,守りのミンネ / 戦いのエール,A-J,D-J,,,,,,,,,
タカヤマン,J,2,バステト／瞳,90,亜2,https://eldersign.jp/img/mi/p/f1/110_bastet_2g7.png,ペイルムーン / ホワイトインペール / マウ・バスト / ヴァルキリージャベリン / ヴェンデッタ,守りのミンネ / 戦いのエール,A-J,D-J,,,,,,,,,
タカヤマン,J,2,バステト／愛,90,亜1,https://eldersign.jp/img/mi/p/f1/110_bastet_1g4.png,カラカス / ナインライヴズ / フォトケミカルスモッグ / マウ・バスト / 日光浴,守りのミンネ / 戦いのエール,A-J,D-J,,,,,,,,,
タカヤマン,J,4,ウルタールの猫／あお,70,原,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_0g7.png,フライト / リフレッシュフィールド / 光のベール / 光の楔 / 月光浴,クィックオーダー / メンタルケア / ローズイズレッド / 守りのミンネ / 戦いのエール,A-J,B-J,I-J,J-L,,,,,,,
タカヤマン,J,2,ハイドラ！？,90,亜1,https://eldersign.jp/img/mi/p/f0/048_hydra_1g4.png,アースクェイク / ウォークライ / スキュアー / ダルバドーハ / ラーヴァフロウ,守りのミンネ / 戦いのエール,B-J,I-J,,,,,,,,,
タカヤマン,J,3,ハイドラ！,90,亜2,https://eldersign.jp/img/mi/p/f0/048_hydra_2g7.png,アースクェイク / インクリーズ / グランドスラム / スキュアー / トランプル,レジストバインド / 守りのミンネ / 戦いのエール,B-J,I-J,J-L,,,,,,,,
タカヤマン,J,2,クン・アヌン／黒,70,亜1,https://eldersign.jp/img/mi/g/f0/026_cwn-annwn_1g7.png,ニグラーヌ / 光のベール / 光の楔 / 炎のベール / 炎の楔,ローズイズレッド / 守りのミンネ / 心の棘,B-J,I-J,,,,,,,,,
タカヤマン,J,3,ゴブリンキング【A】,90,亜1,https://eldersign.jp/img/mi/p/f0/084_goblin-king_1g7.png,アゼランザ / スキュアー / ストーンレイン / フィースト / リフレッシュフィールド,守りのミンネ / 戦いのエール,C-J,H-J,J-K,,,,,,,,
タカヤマン,J,3,ゴブリンキング【B】,90,亜2,https://eldersign.jp/img/mi/p/f0/084_goblin-king_2g4.png,ストーン / ストーンレイン / ブラッドセイバー / ルルハラント / ルールオブドリームス,守りのミンネ / 戦いのエール,C-J,H-J,J-K,,,,,,,,
タカヤマン,J,4,ゴブリンキング【C】,90,亜2,https://eldersign.jp/img/mi/p/f0/084_goblin-king_2g7.png,アウローラ / ストーンレイン / ネクロラトリー / フェアリーエイド / 光の楔,クィックオーダー / ボディケア,C-J,G-J,H-J,J-K,,,,,,,
タカヤマン,J,4,サキュバスクイーン,90,亜2,https://eldersign.jp/img/mi/p/f0/043_succubus_2g7.png,アウローラ / サルガッソー / フェアリーエイド / フォトケミカルスモッグ / 光のベール,クィックオーダー / メンタルケア,C-J,G-J,H-J,J-K,,,,,,,
タカヤマン,J,1,ウルタールの猫／にゃー,70,亜1,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png,グリーンハーベスト / ナインライヴズ / 光のベール / 光の楔 / 月光浴,クィックオーダー / メンタルケア,D-J,,,,,,,,,,
タカヤマン,J,1,ドール？？,89,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,インクリーズ / ブラッドセイバー,ローズイズレッド / ヴァイオレッツブルー,E-J,,,,,,,,,,
タカヤマン,J,1,ドール,36,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,カロウシブスピット,ローズイズレッド / ヴァイオレッツブルー,E-J,,,,,,,,,,
タカヤマン,J,1,プチショゴス (1),21,原,https://eldersign.jp/img/mi/b/f0/088_petit-shoggoth_0g4.png,インクリーズ,ヴァイオレッツブルー / 守りのミンネ,E-J,,,,,,,,,,
タカヤマン,J,1,プチショゴス (2),20,原,https://eldersign.jp/img/mi/b/f0/088_petit-shoggoth_0g4.png,インクリーズ,ローズイズレッド / ヴァイオレッツブルー,E-J,,,,,,,,,,
タカヤマン,J,2,ヴァルキュリア／紅,90,亜2,https://eldersign.jp/img/mi/p/f0/099_valkyyrja_2g7.png,グランドスラム / スキュアー / トランプル / ヴァルキリージャベリン / ヴェンデッタ,守りのミンネ / 戦いのエール,F-J,G-J,,,,,,,,,
タカヤマン,J,1,アンクー／黒餡,86,亜1,https://eldersign.jp/img/mi/p/f0/044_ankou_1g7.png,フェアリーキラー / フェアリーベイン / ベノムスクラッチ / ヴェンデッタ / 光のベール,守りのミンネ / 戦いのエール,F-J,,,,,,,,,,
タカヤマン,J,1,エアリエル・ミント,90,亜2,https://eldersign.jp/img/mi/p/f0/039_ariel_2g7.png,エーテルクラウド / スノウクレイドル / フェアリーエイド / フサリア,クィックオーダー / ボディケア,F-J,,,,,,,,,,
タカヤマン,J,1,サキュバス様,90,亜1,https://eldersign.jp/img/mi/p/f0/043_succubus_1g7.png,アウェイクニング / シュリンク / ペイルムーン / 光のベール / 闇の結界,クィックオーダー / メンタルケア,F-J,,,,,,,,,,
タカヤマン,J,1,アルルーーナ,86,亜1,https://eldersign.jp/img/mi/p/f0/040_alrunes_1g7.png,エンジェルダスト / トランキリティ / ベノムスクラッチ / ペトロガス,守りのミンネ / 戦いのエール,G-J,,,,,,,,,,
タカヤマン,J,1,ブラスドラゴン／赤燐,90,亜2,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g7.png,スキュアー / トランプル / ブラッドセイバー / ヴェンデッタ / 光のベール,守りのミンネ / 戦いのエール,J-L,,,,,,,,,,
タカヤマン,J,1,シルバードラゴン／吼,90,亜1,https://eldersign.jp/img/mi/p/f0/050_silver-dragon_1g7.png,ウォークライ / カラカス / ヴェンデッタ / 光のベール / 光の楔,ローズイズレッド / 守りのミンネ,J-L,,,,,,,,,,
