"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"タカヤマン","ブラスドラゴン朱","56","亜種2","3","スキュアー / スパイクテイル / 光の刻印","ハートオブマーブル / ビーストクッキー / ミラージュ / 守りのミンネ / 戦いのエール","A-D","B-D","D-F","","","","","","","",""
"タカヤマン","シルドラ壱型","50","原種","1","ビーストキラー / ベノムスティング / 光の刻印","守りのミンネ / 戦いのエール","A-D","","","","","","","","","",""
"タカヤマン","カシャ／黒","51","亜種1","3","ペイルムーン / 光のベール / 光の楔 / 風葬","エンジェリックウィング / ビーストクッキー / ミラージュ / リジェネレイト","A-D","D-F","D-K","","","","","","","",""
"タカヤマン","クン・アヌン白","44","亜種2","3","クルセイド / 光のベール / 光の楔 / 風葬","ハートオブマーブル / ビーストクッキー / ミラージュ / リジェネレイト","A-D","D-F","D-K","","","","","","","",""
"タカヤマン","パズズ赤目","46","亜種2","3","ダブルアタック / デルタスラッシュ / ドラゴニックロア / バインドグラスプ","ハートオブマーブル / ビーストクッキー / ミラージュ / リジェネレイト / 守りのミンネ","B-D","D-F","D-K","","","","","","","",""
"タカヤマン","F.S.M.～①","37","亜種2","1","ハスタリーザ / 光のベール / 光の楔","ハートオブフレイム","B-D","","","","","","","","","",""
"タカヤマン","F.S.M.～１","57","原種","1","フォトケミカルスモッグ / 光のベール / 風葬","ハートオブフレイム","B-D","","","","","","","","","",""
"タカヤマン","ケット・シー／１号","57","亜種2","2","テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール","ハートオブウィンド","C-D","D-I","","","","","","","","",""
"タカヤマン","ケット・シー／２号","67","亜種2","2","アゼランザ / エンジェルダスト / トランキリティ / フェイズアウト / ルルハラント","ミラージュ / リジェネレイト","C-D","D-I","","","","","","","","",""
"タカヤマン","スノウ／白","63","亜種2","3","ヒヤデスウィンド / フサリア / フラッシュファイア / リヴァイヴ / 炎の刻印","クィックオーダー / ハートオブオーシャン / リジェネレイト / 守りのミンネ","C-D","D-I","D-J","","","","","","","",""
"タカヤマン","サキュバス１","46","原種","3","アウェイクニング / エンジェルダスト / スタンダールシンドローム / ペイルムーン / 悪魔のトリル","ハートオブオーシャン / リジェネレイト / 守りのミンネ","C-D","D-I","D-J","","","","","","","",""
"タカヤマン","ドール／壱","50","原種","4","アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ","アウタークッキー / ミラージュ / リジェネレイト","D-E","D-G","D-H","D-L","","","","","","",""
"タカヤマン","ティンダロスハウンド@","43","亜種1","4","スキュアー / フェイズアウト / ルルハラント / 光のベール / 光の楔","アウタークッキー / リジェネレイト / 守りのミンネ","D-E","D-G","D-H","D-L","","","","","","",""
"タカヤマン","F.S.M.～②","38","亜種2","4","アゼランザ / テンペスト / ミラーズ / ユロール / 光の楔","アウタークッキー / ハートオブフレイム","D-E","D-G","D-H","D-L","","","","","","",""
"タカヤマン","スターヴァンパイア☆","46","原種","4","ミラーズ / ユロール / 光のベール / 光の楔 / 風葬","アウタークッキー / ハートオブフレイム / ミラージュ","D-E","D-G","D-H","D-L","","","","","","",""
